total_steps,total_reward,epsilon,total_q_values,total_loss
76364,2.0,0.1,0.010256763289205766,0.0016061811377258155
76775,4.0,0.1,0.011330202738516522,0.001735326103515084
76975,2.0,0.1,0.013672851957380772,0.0010246005910175882
77175,2.0,0.1,0.009229560336098074,0.0013289429818132703
77435,3.0,0.1,0.009299244574056223,0.00048820372711873007
77646,2.0,0.1,0.011140324166530116,0.0007183494051020169
77900,3.0,0.1,0.013795287384996264,0.000961075088763947
78100,2.0,0.1,0.01468257199972868,0.0008625247963118454
78222,0.0,0.1,0.011934728804426115,0.001015154253236762
78422,2.0,0.1,0.014234310947358608,0.0008804987750090732
78623,2.0,0.1,0.01403779385435344,0.0005601105481682634
78765,0.0,0.1,0.015988659507162134,0.0006907756706362268
79055,4.0,0.1,0.015059349107845076,0.0004938481285562532
79286,2.0,0.1,0.019129292160530626,0.0008075942444439766
79418,0.0,0.1,0.017487645403228023,0.0007469650750746234
79625,2.0,0.1,0.017510853689793802,0.00043630922272608287
79767,0.0,0.1,0.015489611774682999,0.0005743142219857168
79895,0.0,0.1,0.016241518140304834,0.0003359685610178076
80130,3.0,0.1,0.01567722847487064,0.0003047993675902538
80433,4.0,0.1,0.018400506746552563,0.0004024555232049967
80588,1.0,0.1,0.019650223706999134,0.00043947303265374485
80749,1.0,0.1,0.02201769861930646,0.0008010445680698715
81170,9.0,0.1,0.017326317364770274,0.0004233805472917961
81375,1.0,0.1,0.023483295411598392,0.0006411746216433196
81636,1.0,0.1,0.030094200110070093,0.000617839654393974
82078,5.0,0.1,0.026225657838636934,0.00031721558253301497
82276,2.0,0.1,0.027991655630746272,0.00023680372426341167
82400,0.0,0.1,0.029757400013266072,0.0002571406412097267
82591,1.0,0.1,0.030583449878305666,0.0003038493957381491
82800,2.0,0.1,0.03500511543602464,0.00017872152172706345
82964,1.0,0.1,0.03629450427322853,0.0001935409432562443
83150,1.0,0.1,0.035098728393354726,0.00026916113423677384
83396,3.0,0.1,0.03693226355362714,0.00014966090259442013
83724,5.0,0.1,0.03611082127090634,0.00021448388683782514
83858,0.0,0.1,0.039736910598046744,0.00021658653208556753
83986,0.0,0.1,0.041239104175474495,0.0001631678290294758
84213,2.0,0.1,0.044202213146875606,0.00012350804884025688
84346,0.0,0.1,0.04086688379371973,0.00010129949753588465
84472,0.0,0.1,0.04495293227216554,0.00014097596246597638
